,Rb,Ba,Th,U,Nb,K,La,Ce,Pb,Sr,Nd,Zr,Ti,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO
ODP0129-0801C-009R-004/001-004,-0.8364418427907564,0.022370796056994657,,-0.22365213050285426,,-2.477600019867861,-0.3080651752913801,-0.6350450197186559,-4.1232366894115575,0.9721540814743461,-0.1524248349007431,,,0.3118784804814476,0.13718701068878048,-0.281881868867746,-1.5772017485532217,-1.1283585696535114,-0.009991968007179608,-0.0615046428310593,2.341215379527849
ODP0129-0801C-011R-002/145-148,7.176110374195811,0.014354473282604974,,0.2640422209114246,,-1.0266765556895976,-0.164776991271963,-0.21249643835015064,0.01581074242892644,0.8773399268536339,-0.23255465594766545,,,0.6871994253722811,-0.23572959661174941,-0.08712036134062373,-2.607293958003595,-1.560266206109178,-0.24632652429682267,-0.10445704812367104,3.4203131698616787
ODP0129-0801C-012R-002/111-113,0.09129863904506674,-0.13482519133547544,,5.620000768013876,,-2.812421480482584,-0.021394685234509936,-0.038382640288816994,-1.7986011437715081,2.4528205206209828,-0.4691224994868932,,,1.5886246947160991,-0.2538791553210009,-0.06876765221896441,-8.292157127934523,-0.8020686445357699,-0.49632954225640713,-0.022012691390454364,10.498409987259349
ODP0185-0801C-014R-001/086-088,0.5858094087868169,1.1253382881895482,,1.213361134088887,,-1.5094555655636477,0.5885806516626717,0.5337246928964099,3.6174442096467923,1.397688610195532,0.18232900961873888,,,0.3829492911952048,-0.15302593801361652,-0.13255178981374094,-1.9626052670945455,0.06196208486692534,-0.007152850865165039,0.010154263588175338,2.26818885476348
ODP0185-0801C-015R-002/117-120,7.975191910663347,0.9902940422408377,,22.345928129056208,,5.8030017603708135,-0.07644020858714295,-0.16928834318467523,1.284285359853703,3.2659664166547264,-0.5667462932437353,,,-0.7387677994627744,-2.1181490655069553,-2.5706343043383706,-0.19932211168001857,-1.9818674456030108,0.8399756836691408,-0.0263507413223128,-0.2346789416395385
ODP0185-0801C-015R-007/096-099,0.9498822081608336,0.6595139790615692,,6.429043228932821,,-0.5744910754236203,-1.3048886890815519,-1.060824325015222,-0.08006100402505822,2.525887777557971,-1.7542745101059403,,,-4.5376862906301,-4.163535374708904,-4.240341606779032,-5.967767128505827,-1.0410696307425438,0.3419608888567294,-0.015402350020409183,-3.940888562410896
ODP0185-0801C-016R-002/027-031,59.70856856099127,0.22668175302285776,,31.836223002179224,,37.35973757275582,-1.3153055306069703,-1.6523496277085492,-2.0895533313829393,0.5208805936216603,-0.4875693134513135,,,3.7172098287532176,-0.6881240667207731,-0.1673437620480236,-7.786121236571468,-1.38503979439181,-0.7195167602930277,-0.013660913441156053,3.2991309924245247
ODP0185-0801C-016R-002/082-086,17.337277216599997,0.4056906438817809,,17.285598767536275,,10.112769266268405,-0.849484921301376,-1.598172605839789,7.051407410485053,3.708525414656502,-1.598429113021842,,,0.037148981666341285,-1.5520900843584133,-1.666385966112239,-1.200334598065794,-3.299013482523084,0.5344292058485247,-0.0478493303984891,3.8275331604373974
ODP0185-0801C-016R-005/062-065,3.797538171076416,-1.3674732815348358,,77.85054002179257,,2.1958601311342507,-1.2759579433515906,-2.270572112050446,-6.434012775166013,-2.7438083431304072,-1.2327318977416164,,,1.2808698148105675,-0.19796139456630613,0.20115149642580565,-3.6877753640810127,-4.699815469364619,-0.89423163708423,0.025133737556867985,10.913580757583466
ODP0185-0801C-018R-001/064-069,0.26114473967012874,0.18382573671201663,,3.817417312783163,,-1.291390443731134,-0.25908624005578673,-0.3566003861185756,-1.0500284543567222,1.5306518068421964,-0.14385173013386066,,,1.0613587260537471,0.49458651881178106,0.9814815458269859,-2.469434885192065,-0.1017459524874722,0.024882674134211857,-0.045855708528302785,0.7463639402048674
ODP0185-0801C-021R-002/086-089,9.562782958939597,-0.5119308102050961,,37.82705296274927,,-0.39422275039147436,1.026674970707699,1.0145727580854915,-2.052318487148275,0.9525026692723717,1.5143701564647536,,,4.165242036715238,2.3721243529950993,2.7410295444716812,-7.40889808394423,-1.1987531678985643,-0.3809937364618352,0.024376715713137098,8.213504227029473
ODP0185-0801C-023R-003/080-084,-0.41872533006232426,0.06424019819157034,,2.0161222768566347,,-2.3784450911980137,-0.3306621059392132,-0.31507059545744376,-2.6087207448045104,0.8809940368889517,-0.09097995065079445,,,-0.3808746729835448,-0.892718134993391,-0.5425309443806956,-1.775231190169933,0.2265865740690094,0.18774594326256233,-0.024950922989861818,0.1851765831002492
ODP0185-0801C-024R-001/046-049,3.860139677711543,-0.1974919009620928,,15.245806543411762,,-2.953749333634125,-0.5390391552920004,-0.13699305558385966,-0.3802924238670684,0.5310796666542208,-0.28257414626997424,,,0.33189670003527993,-0.8253917544152785,-0.16355375017126583,-2.1950393508277912,0.13912473912723122,0.0002430898360263889,-0.044938209107181104,-0.011542007485804362
ODP0185-0801C-025R-001/010-013,-0.9725217565123399,-0.12528055922219972,,-0.1487379784885663,,-3.1084708076770857,-0.13476047828986992,0.1697301983238333,0.2039970854864439,0.7686075750278825,0.22632154744479394,,,1.0304721394426775,0.1042405993709572,0.3936468289261299,-1.3874137953594925,-0.05725183113467214,0.004693686162674293,-0.04980905719081971,1.213156022059927
ODP0185-0801C-027R-003/066-069,1.9047181034620009,0.5443885572653235,,16.03687550648221,,-2.140819069294177,0.2921304454367508,0.10813753259402947,-0.008874141849854134,1.118682851035901,-0.122704024582859,,,1.1586438572951305,-0.11195977229597975,0.0799030682161046,-2.672722523396118,-1.3207439593721606,-0.30219413993404887,-0.06274207204225551,3.8283975150425498
ODP0185-0801C-028R-001/110-114,15.32120476605874,0.4296213570168115,,2.597316589627128,,5.743497999136999,0.6740543719820975,0.4435429985213606,-0.4376110829042892,0.6660034696397918,0.8764678191009159,,,1.6089281660802177,-0.2489109398641105,-0.007799042279050816,-1.6125562830688907,0.7938534215178965,-0.2529878877624441,0.007977741373548314,0.5918250080481045
ODP0185-0801C-028R-002/036-038,-0.4088385252649831,0.49303760075004077,,0.7141007764619118,,-2.3302694299848525,0.32017841396435465,0.07438044596519156,-0.4177442928669075,1.102434341750559,0.4817865035665605,,,0.9676508489308322,0.38913771321311064,0.5597687488965537,-1.4975685218537436,-0.07977778588062634,-0.1890926195873619,-0.017231806086564883,1.7404485744010039
ODP0185-0801C-028R-002/100-104,6.076262447018633,1.2633428263362634,,54.070730884392646,,5.038537385095641,-1.0402731837160557,-1.282485300749328,-4.0226336728096435,-0.6044317885767523,-0.8961881909668685,,,0.22050683984598862,-0.07406896738707047,0.07523285126183321,-3.4830002707702974,0.11390047464091158,-0.6109437936691244,-0.017870422360835414,2.7919240047219134
ODP0185-0801C-029R-001/016-018,0.22354429656977848,-0.2394913416637494,,28.978841892960574,,-0.6948825383121262,0.40068098234490535,0.3263379510948283,-1.8195969794294342,1.2162239093507905,0.7701647631135504,,,2.0796274579916556,1.7141081350868816,2.0579907428898476,-2.7711121433409005,0.4970838457640889,-0.11251042342822837,-0.03832260253234193,0.9207244287493115
ODP0185-0801C-030R-001/003-007,21.021113656349552,-0.08706731489487618,,8.041637008220253,,3.4167795997148307,0.05500524628943637,0.07089588544488024,-0.1710183755349739,1.4187342194859554,0.3399996878294367,,,1.5997415117259717,-1.0115507424261558,-0.7923577015299461,-2.929501335985904,0.7638975883869703,-0.003551507473392501,-0.012359063243705837,-0.9936976677924036
ODP0185-0801C-030R-001/111-114,0.2643726850997902,0.17230071538248315,,1.8467819493354725,,-1.834210730218169,0.03971502751621525,0.21651342121101358,-5.635839044330551,0.86531401639182,0.4781175575871792,,,1.2217130465276682,0.8467503013269564,1.2605170542310056,-2.1028686514612147,-0.19109657814246983,-0.15138217364114714,-0.018798049336114397,0.6429216711236787
ODP0185-0801C-030R-005/039-042,7.443432547004774,-0.36221269608438256,,10.302187249982122,,-1.6363225660995613,-0.026176257286941507,-0.25570269737853835,-5.087188508004837,-0.20773297707522875,-0.1354236097522028,,,1.9851489572405292,1.3988966273700951,1.6085599456676798,-2.8675078541501904,-0.3039290095650138,-0.2838685855972902,-0.008285859123958877,3.839452231830032
ODP0185-0801C-031R-004/043-045,-0.18731870417417973,0.40788882971628326,,1.086067341966619,,-2.031982577303444,-0.009874586779639039,0.1902588383559216,25.75322206735857,0.7781875725348257,0.4720055053444163,,,1.6883109900323987,1.0030219211006077,1.674549111640932,-1.5219789190606434,-0.3996683104508376,-0.1256046014825163,-0.007020021789709618,0.8453676793259621
ODP0185-0801C-031R-007/007-010,22.878218160859785,-0.7047364562019156,,0.3983671981703596,,2.6091747126875617,-0.4278784309921786,-0.4576363237127543,-4.675271412784846,-0.4201205514876305,-0.1433894046194215,,,2.290760075488306,-0.44427285740982114,-0.18861871722456947,-1.149891928478226,1.3734132358612934,-0.5242457588497191,0.007297350462187324,-1.6198490091306699
ODP0185-0801C-032R-001/121-127,69.06883010855003,-0.2760328352176802,,-1.7766926522544655,,26.581005030393545,-0.1969733527901285,-0.07600216203910648,-4.977131363948985,-1.5334004651025457,0.3879928009824978,,,-0.03146177159101171,-0.4170790761347609,-0.5228852975697995,1.0719122829499526,1.49966503175692,-0.5078554658442922,-0.010868945373145367,-4.860651615419221
ODP0185-0801C-034R-002/036-040,43.55660675707326,0.6243853046476977,,25.96800369922393,,11.550772512271628,0.8595491473048735,0.5684707980606127,-1.9425577476342095,0.9701964017831717,0.7065842487438285,,,1.5193675202474388,2.0864694401917934,2.700747607128598,-1.2071312023238505,-0.7256250600991594,-0.26405170410235224,-0.014226221216405627,-0.8543731867860007
ODP0185-0801C-035R-003/100-104,1.9200629496651775,0.022987026320901105,,32.81657165011687,,-1.4968708938177322,1.111425844233068,1.1995317320407182,-0.42834728473529804,1.2454153828208305,0.6295320668718851,,,3.9935939705515224,2.2024437476032173,2.645860972091384,0.273895502997199,-0.769736214416973,-0.05434090871665953,-0.00188965299243396,0.32332428701145766
ODP0185-0801C-037R-004/106-110,0.8601744779026448,0.7655159829043978,,1.8824806724664378,,-1.6801733944190183,0.230486742012741,0.5287074478912146,-6.1843976411815,0.05931209179250896,1.2537676726078342,,,1.2716034805878618,1.5940057789916615,1.8464843452678075,-0.6403113601168329,-0.5197907720477062,-0.1459306679261223,-0.015349948377682665,0.8285864980825686
ODP0185-0801C-037R-005/112-114,21.479130268987372,0.8973864007507177,,7.954322053654601,,4.2869757567299,0.09457495502554014,-0.05674062045009709,-3.3105477393017293,-0.0068901565968797485,0.1388629012980438,,,0.9854960058635154,0.4100317892778307,0.7702425975810829,-3.369659631063037,1.6615462471285376,-0.2514907367259278,0.024217537441537956,-3.5993078343153444
ODP0185-0801C-038R-001/022-027,6.473775767633005,0.7519775397050084,,23.418262526377337,,0.3042784117299635,-0.07448911750461296,-0.2770099059987139,-1.1591954306650774,1.4731726988662759,-0.275968640632561,,,1.2205101295585834,0.16244690687723384,0.49529787563677274,-3.7211698557371022,-0.7387167164958912,-0.1766293245275774,-0.012319480791997378,5.2384679215680165
ODP0185-0801C-038R-003/053-059,28.708786424121207,0.5540788971884751,,25.25217417011538,,7.147530584823092,-1.0447589519140044,-1.2933463467204227,13.643981946156867,0.3377320110399422,-1.3835895274177759,,,-0.7998671230421941,-1.4588578601125501,-1.2178544311103057,-2.332228295618428,3.166156252511593,-0.12045709030108087,-0.04197606528197209,-5.018898060922643
