,Rb,Ba,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Th,Ti,Nb
ODP0129-0801C-006R-003/037-042,11.740011105975055,0.7131986295366464,11.369011134331195,6.442919301227465,0.8750595690305828,0.8546644916936874,3.074184015016876,1.2438991771024033,1.0024996311770937,0.9134128388665763,0.82024551630066,1.0140793255469869,0.8322609005826921,0.22757632208529924,1.3932595927919174,0.1369331607311564,1.5078943839957826,1.0,1.0,1.0,1.0
ODP0129-0801C-007R-001/053-058,0.5499643095363271,1.822636830374043,0.8613466491316568,0.23528701317035833,1.0717276584318765,1.0504011020935122,8.703451816535264,0.8284112839023172,1.079213561602674,1.14096653291041,1.1106536928583677,1.2528088405319475,0.9466089639541675,0.9801671885849031,0.8339792431959319,0.860471585044909,1.069490441389252,1.0,1.0,1.0,1.0
ODP0129-0801C-007R-001/099-105,1.636046736039252,2.7391697809656623,5.0126196702669406,0.32361259051517466,0.8987953694417744,0.8694915849784909,10.73065757650056,1.208695109034802,1.0863557582169368,1.0003686563631,0.9836569347591948,0.9920039064698385,0.9339702798328611,0.9183829469596658,1.0175388087298818,0.7698510626226563,1.072950340481219,1.0,1.0,1.0,1.0
ODP0129-0801C-007R-003/000-005,10.811855050063318,1.3304927232116006,2.3762597982368643,1.523846409889037,0.8895252725291412,0.9664124496102761,13.803075736400727,0.9019582839463569,1.0199323441806147,1.0546982746817224,0.9988947966688789,1.1147458987328067,0.9323970544682376,0.8674083653625857,0.8753315710260803,0.5088196469373563,1.063730703193216,1.0,1.0,1.0,1.0
ODP0129-0801C-007R-004/077-083,3.495133622718422,1.4383386191210428,4.499715621977847,0.3071481964863045,0.881124372029789,0.9014758533468119,14.818187762317413,1.0657601589411494,0.9688752069247936,1.0496656901049692,1.0186236371225312,1.010056085834884,0.9687268563928043,0.9422614046984126,0.9739389095731417,0.4558115019816475,1.0820332298303525,1.0,1.0,1.0,1.0
ODP0129-0801C-007R-004/137-142,1.3157375507902573,1.9491812283721737,0.6215454344991594,0.3192521073417872,0.9409160973715659,1.020830001325262,8.587956484253219,0.9503486750426343,1.0664998165852497,1.1043036282225518,1.0781268835108226,1.2202112648352017,0.9224447308032635,0.8705472297521477,0.8975909304764966,0.5007647474516521,1.1686420776384987,1.0,1.0,1.0,1.0
ODP0129-0801C-008R-001/065-067,70.88844472798387,3.9257422937348267,12.784381839316861,6.823024090379658,1.0895252148220282,1.0377968940067481,6.033448701133934,1.8064932082686114,0.9452491223468782,0.9041630392053085,0.7812646526428972,0.7461660127372352,0.9274043261422082,0.45920514804677554,1.3128582620843534,0.5437569660891967,1.0487529732708352,1.0,1.0,1.0,1.0
ODP0129-0801C-008R-001/101-106,1.972581288116791,0.9500020264487063,0.6067001032036711,0.3094397012949009,0.9107641165084672,1.005744196394333,7.808335488817673,0.8364427821176931,1.0417427636419863,1.153154423589297,1.1061037286583522,1.2909742432389453,0.9404455736885025,0.8982594162460691,0.8550120326216378,0.5119557742140566,1.1254036724501566,1.0,1.0,1.0,1.0
ODP0129-0801C-008R-002/078-080,3.609538126298185,1.6547164497369062,3.1571092427320573,0.4486755657944959,0.9815941413926343,0.9442613811368877,15.158405100265957,1.2469963354362712,0.9728719816680237,0.9834248222794585,0.9807957395092788,0.936253369058968,0.9405255303958671,1.0366170768733642,0.9912906862826553,0.6448169131413165,1.2665694605840134,1.0,1.0,1.0,1.0
ODP0129-0801C-008R-002/133-139,3.067040445344733,1.7020595848397213,3.9282516146421496,0.34899495058110847,0.8993457641129163,0.92662176109462,11.91653399504515,0.996476502811775,1.022688672695033,1.100980939467075,1.026455463217718,1.047929042257332,0.9587321054481949,0.9294493068976,1.2041162940352808,0.8174543252885104,1.0900102180497337,1.0,1.0,1.0,1.0
