,Rb,Ba,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Th,Ti,Nb
ODP0129-0801C-012R-002/111-113,1.1320253642063824,8.652293262243639,0.07997998387170863,1058.3556081457689,3.4746981487561084,11.268129186512649,0.512700681207777,103.24548701489725,11.135191864305254,39.871757639041746,3.975162423573254,0.6090888062642034,50.37215712793452,7.20206864453577,2.786329542256407,0.21101269139045437,10.61159001274065,118.99999999999999,0.1404120183989443,10608.209898957017,2.175793490367863
ODP0185-0801C-014R-001/086-088,0.5150110254203714,7.735010703843248,0.07401941618413338,775.8202394461172,3.9656450923077444,13.352638670108872,0.4411614611150777,97.50877032487428,13.553126520976228,50.05758072506182,4.905441787440713,0.7588088324462169,49.892605267094545,6.408037915133074,2.677152850865165,0.2658457364118247,10.191811145236521,138.0,0.1432976942662928,13005.545469342782,2.4890167473765854
ODP0185-0801C-015R-002/117-120,0.5857531367287746,8.378834938778786,0.07773550928981961,840.4826675631866,3.972514423299367,13.2004868091528,0.4728157394503871,93.08810860858527,13.667374481052017,51.66139348755562,4.954247489294929,0.7602269385210394,50.08932211168002,6.401867445603011,2.670024316330859,0.2443507413223128,10.314678941639539,141.0,0.1530645666083831,13065.478858602426,2.487470927205013
ODP0185-0801C-015R-007/096-099,0.6168247978178706,9.190656800338694,0.06699009219241076,702.247221770103,5.276458529399026,15.58296317690202,0.5906843312857791,97.70376789352682,14.775287686683443,52.446472622366954,5.00262293973149,0.7457852789016484,49.91776712850583,6.881069630742544,2.7580391111432707,0.2434023500204092,10.340888562410896,168.0,0.18669913360738752,13724.74614045851,3.539142897851322
ODP0185-0801C-016R-002/027-031,0.8850589637705433,12.215721228123249,0.09543931695423627,1221.559169720101,5.243614899526989,15.732920589182676,0.7173582865281887,136.00941947458298,13.96016885041308,48.18669527917285,4.879245164893342,0.7223834383915537,50.14612123657147,7.01503979439181,2.919516760293028,0.24266091344115606,10.370869007575475,170.0,0.2269140727955942,12106.544630448121,3.759480604396056
ODP0185-0801C-016R-002/082-086,0.19082896745900052,8.364628089910232,0.06500242588173823,670.8055270743606,4.703596140934045,16.436756375365626,0.4383500738555612,92.75011375074781,15.864273019031573,54.83097213341814,5.035180411588697,0.7643125614923058,49.9703345980658,6.059013482523084,2.8755707941514754,0.3188493303984891,9.582466839562603,189.0,0.1415849620177781,16961.149160479297,3.4089880666756045
ODP0185-0801C-016R-005/062-065,2.1885632613664754,18.697270764646966,0.0951386595423559,1847.0101597937394,4.576583107082543,12.910265498889542,0.8198149070367869,191.8943560400516,10.13911898954215,28.172042342611917,2.9575949675211888,0.43911478926449043,50.57777536408101,7.66981546936462,2.80423163708423,0.160866262443132,10.676419242416534,109.0,0.22100342238689522,7851.273993013385,3.301212377760176
ODP0185-0801C-018R-001/064-069,0.17217309030946829,8.435241926119717,0.053834236431553585,625.7268064972003,4.597992246918325,15.732965685360472,0.4775520202593273,92.70324687562965,15.094775242601248,52.270817796455454,4.866168846225792,0.7213703656088032,50.19943488519206,6.481745952487472,2.815117325865788,0.28085570852830277,9.963636059795133,166.0,0.1340073870423105,14563.81359009353,3.1911688527886897
ODP0185-0801C-021R-002/086-089,1.2476328210733563,12.907884432523417,0.12163188778226536,1198.3475792726958,4.01467429512381,12.399133354398252,0.5037146125875275,115.90219367835296,11.349542808146724,37.248148732945666,3.8005426939734157,0.5831638137090956,50.53889808394423,7.268753167898565,2.880993736461835,0.1756232842868629,10.826495772970526,118.0,0.2182478199915496,10548.276509697373,3.3777257811506898
ODP0185-0801C-023R-003/080-084,0.4788905845895759,8.741025254839114,0.06566143218601067,914.9474825174889,4.657164866780239,15.259250306936961,0.5732191728811202,109.41102582164312,14.323186853181175,52.332979762075134,5.000110040551742,0.7451472898841713,50.06523119016993,6.66341342593099,2.8322540567374377,0.24995092298986182,10.07482341689975,170.0,0.1682386138845839,13604.879361939224,3.177560253717284
ODP0185-0801C-024R-001/046-049,0.7888113046531706,9.520270895824067,0.078838062588353,1262.1477580155918,4.200319899685605,12.94316267366135,0.6250007620945618,110.79421903359594,12.882605394049545,47.68987001483948,4.756918134926732,0.7001029775126736,50.18503935082779,7.030875260872769,2.7797569101639734,0.2379382091071811,10.311542007485805,150.0,0.171537379517099,12046.611241188475,2.75187949146238
ODP0185-0801C-025R-001/010-013,0.7885513153853358,8.605585828403955,0.07512349754825988,987.9111478236133,3.9425804485851406,12.698728897975196,0.5325162069304625,103.78238016691166,12.593560624759748,44.71135176553582,4.618609384510118,0.7018701346594663,49.947413795359495,6.9172518311346725,2.675306313837326,0.2348090571908197,10.366843977940073,137.0,0.1497880537849595,12046.611241188475,2.490867806180577
ODP0185-0801C-027R-003/066-069,1.0005040043016296,7.695268373272653,0.07022561436387358,967.2658676243693,3.3793063839849524,11.308055879645597,0.5176300640713396,103.39579184314249,11.166141249285191,39.628170449307156,3.935196167741918,0.6000871729520082,50.31272252339612,7.310743959372161,2.752194139934049,0.2377420720422555,10.84160248495745,116.0,0.1349572420601506,10548.276509697373,2.216518797287524
ODP0185-0801C-028R-001/110-114,0.8710349735526994,9.597376335809505,0.07645635161783032,981.9219604850133,3.266924646448299,11.082711177624585,0.4470703868862045,108.94732679060039,10.17326257293736,35.67937684433501,3.382713093353006,0.5115771291286498,50.36255628306889,7.556146578482103,2.762987887762444,0.17202225862645168,11.028174991951895,99.8,0.1507989223617318,9289.675335244845,2.510239747474191
