,Rb,Ba,Th,U,Nb,K,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,La,Ce
329-U1365E-2R-1-W 65/69,0.5272634955913588,7.907317148597666,0.15187496901637498,0.08929620282791007,1.8619000947771462,610.2794814953252,0.6065350321396692,108.39958507004323,10.103595646542002,32.01085441180042,3.1069475707655556,0.46949250093283745,50.118096126662444,8.052396573833938,2.5047650210658876,0.15191092757841634,8.889930418303825,77.8,8690.341442648403,3.290003159474487,10.91043575757576
329-U1365E-3R-1-W 130/134,0.5422227957316391,11.8851725984374,0.18646550506907,0.10976871859546279,1.8687172310889606,674.3191712024342,0.6871341198267205,109.14085213069292,9.601233292212187,30.547079687166935,2.950090318467388,0.4339288687582631,50.218981016927145,7.995853923172318,2.5594606096197032,0.1311674561527548,8.935332119495225,73.93,8450.607885609827,3.351631916527217,10.53065527692585
329-U1365E-3R-2-W 20/22,0.5720912913965526,7.998615294734986,0.14538378279119335,0.08747715918814583,1.749938635382666,662.6499395856871,0.48630725324269125,104.97729516182049,9.754692058102762,31.605778574238702,3.0959981756575736,0.4662735364449444,50.004548502933346,8.110655431248896,2.4747644577794166,0.15280589370316888,8.993219864201498,76.36,8510.54127486947,3.179396716880816,10.5538077625406
329-U1365E-3R-2-W 22/24,0.4851533779979353,11.50232654781326,0.18611380293160446,0.08480385345979156,2.0857764987182152,623.0234885404383,0.6412364636498812,105.3345261638158,9.744397452757791,31.38598178986782,3.066599239731672,0.4487098103507077,50.13459428849808,8.081687019323475,2.579499788916388,0.13764100192105097,9.283166930750061,76.94,8750.274831908047,3.377193515282814,10.59459836032389
329-U1365E-3R-2-W 52/56,0.33931675135634504,9.402344076470063,0.12764539156981874,0.08018587906330435,1.3012419304949958,726.2600086565633,0.3087139984428566,104.08876553232282,7.65970229026364,27.49616744545717,2.7193706984579307,0.4069221444143429,49.992811393330406,8.39964774490717,2.569055857417484,0.10159622538137653,11.121645287674122,63.57,7192.006711157299,2.398575343511451,7.841733006833715
329-U1365E-3R-3-W 33/37,0.5420282828771391,11.331358813565888,0.1264633442413804,0.06155996182630119,1.2891341315243152,677.2702032350802,0.22485109419490945,104.62152206364756,6.733063625519181,25.34600338253108,2.497289009163101,0.3741887171120053,49.72274140125171,9.008197419326786,2.3850746444892508,0.09268744061159279,11.368657594588509,60.15,6592.672818560856,2.260673611333742,7.20452898734177
329-U1365E-3R-3-W 112/116,0.4726890013513458,8.56570723682763,0.11410684224275201,0.06005908869279509,1.1491377090107198,723.8552360955772,0.29603312809226795,103.17435436887601,6.893991268002397,24.894447748901154,2.5523572210219836,0.3720889572921863,49.335479380336515,9.074952625471719,2.4243156187983996,0.09624944529148538,11.276532408711976,58.42,6712.539597080148,2.213817075044318,7.345939723876556
329-U1365E-3R-4-W 66/68,0.41771937499595974,8.37705849678205,0.1310586053723553,0.06953446916968252,1.1820319902604026,708.5369091673188,0.4559066303716636,103.94905784307271,7.580090314511553,25.028299812317854,2.6631906376804513,0.3910590775363166,49.89655326798231,8.715691995532511,2.5173736263198556,0.10202579162032721,10.971164577738646,60.23,7012.206543378366,2.415917786041472,7.955480577617329
329-U1365E-3R-4-W 68/70,0.3851533483532582,7.447188382686813,0.15116272470799355,0.08592555515796614,1.2587392554220043,756.6603604787272,0.4450771203243647,103.84711833317253,7.864183450923049,26.000223434482177,2.7594588499664994,0.4015345455436334,49.75464067285037,8.522799041416734,2.5763334997089,0.10045868303444572,10.816748089879498,62.32,7192.006711157299,2.536510754716981,8.184390450747024
329-U1365E-4R-1-W 22/24,0.2351745323943995,6.027323073380395,0.08981832295752563,0.02434350961861682,1.7373991138969842,409.24637338741627,0.3075046126057288,96.32721545449508,9.563704704857823,32.13431969639526,3.1697015611577446,0.46978697869231206,50.092092571334035,8.418001085519466,2.393333336979424,0.2223245625217252,10.096671908889922,75.21,8630.408053388759,2.840253137673426,9.910184717891852
329-U1365E-4R-1-W 24/25,0.43219558801832625,9.013224376405761,0.15012394204197377,0.06270533501796474,1.5746683103452204,655.9273557866546,0.4645447921616003,99.6901159941138,9.174997854713705,31.491797254723796,3.0944332588634427,0.46450342037107784,50.10868979588228,8.1135063646977,2.45003449082566,0.13572562928495593,9.24771041832195,72.01,8390.674496350182,3.0259277941384677,9.719588723404254
329-U1365E-4R-1-W 37/40,0.4401433563647028,7.378171727692385,0.14232560851800521,0.06903887930850754,1.546747561841828,603.61231439131,0.43338647225754834,98.59783602892975,8.813777238036682,31.360014111857176,3.1360357403011294,0.46835226989070017,50.054011893781286,8.168295005152372,2.4152150229400675,0.1236855804741529,9.395561794701958,70.54,8091.0075500519615,2.930433377089432,9.45431078540664
