,Rb,Ba,Th,U,Nb,K,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,La,Ce
329-U1365E-11R-1-W 100/104,0.6982774316405788,1.9233633082833315,2.0795840655491062,3.2907591698579535,3.922109567379629,3.3098916838818626,11.30754558983128,5.586254079932568,8.900042402285791,8.250419757339113,7.363284196795613,7.770382986422866,49.936538663295416,7.914629646081352,2.777596335683086,0.1827514275805561,9.270084590478609,8.75,8.759495353332609,5.9513024342228995,7.162421940733882
329-U1365E-11R-2-W 0/2,1.0186567556652577,1.0508741647170332,1.5246891105658464,2.4505228371974725,3.4557237661604354,3.074203320568119,13.395673856615801,5.546986224608473,9.51566717509961,8.63802778492183,7.899688265913083,7.924904414868832,49.68915763113155,7.87311727721877,2.809173960349706,0.28852065128941023,10.081015668007359,9.209821428571429,9.128316210315035,6.005154501706974,7.9360697340474315
329-U1365E-11R-2-W 2/4,0.5796103067124629,2.4991735797653347,2.557485054098861,3.5308241809061323,4.050799446381836,2.709774471980082,7.347488504555435,4.748182134955383,8.342456826677472,8.408815704424782,7.534388509243919,7.593026721234009,50.208510867947254,7.719701336825217,2.8087484253590977,0.16097601236664547,9.43525532484527,8.57857142857143,8.34457188922738,5.631195262687997,6.628237516752931
329-U1365E-11R-2-W 89/93,0.7976794714987875,1.767847971762151,1.9817483433126173,3.088785238706575,3.551964673722832,2.9588882174251747,10.974116032776262,5.14015097962268,8.660347897794313,8.085038078648706,7.21946725034511,7.500098952328792,49.71412409397713,7.942872475064004,2.7719117421162847,0.1791797944238662,9.363409286442309,8.293750000000001,8.436777103472986,5.702736353478,6.987706215725921
329-U1365E-11R-3-W 77/81,0.64883729348283,2.5745104720095258,2.593688837719012,4.306175275803269,4.146942045616529,3.0311891625048886,10.787145621161283,5.217333150955896,8.476144245018613,7.980644179544059,7.106185008539442,7.418033787327002,49.90142492871957,7.862379981673595,2.6453983507884513,0.16822288983042227,9.719876370800126,8.490178571428572,8.390674496350183,5.849391423051022,6.834966262731262
329-U1365E-12R-1-W 19/23,1.0623389770247662,1.1268029062597131,1.6200166683201787,2.793195999006708,3.380154936709934,3.040407221744385,12.091631531585437,5.20147989199533,9.155264607439682,8.646147245049246,7.972246295342046,8.166656829930124,49.7834627137047,7.915164504178013,2.777448744576029,0.24932919255762445,10.125974985336706,8.98482142857143,8.851700567578215,5.7991334316265455,7.559240174211431
329-U1365E-12R-1-W 71/76,0.7016797375747212,2.5169619857886483,2.5679504909077484,4.1695928921907495,3.9176117425441634,2.8750016059106365,9.13728844638782,5.032032132695002,8.803401142754634,8.938601180245238,8.001254050168354,8.124565093075589,50.27137734485892,7.6123106416708675,2.6929835140405514,0.1764312182945903,10.491306672811174,9.137500000000001,8.897803174701018,6.099818573148619,6.898951487358356
329-U1365E-12R-2-W 66/68,1.2111543697196998,2.6241138347396276,2.68909094459508,5.682467321519415,4.233955568299876,3.9907387133096646,13.368664110854676,5.661527807684662,9.08120860751896,8.013523839229489,7.0303430697982305,7.177676448337606,49.80376380179021,7.727034328492613,2.727329049979666,0.18250551831767095,10.020923649743365,9.063392857142858,8.897803174701018,6.6119701494825485,7.718019310320739
329-U1365E-12R-3-W 17/21,0.8563136470081097,1.7510131414006567,1.9223264555103374,3.832248172715875,3.3736635979012433,3.5285035187362164,10.498936572346455,5.446253904364965,9.312665756752228,8.660004712762625,7.789461522882282,8.01214441998938,49.65135267598851,7.499212846190949,2.755899733074499,0.20146789962094455,10.077296879346424,9.43125,9.312726638806247,6.184785821372611,7.605457811055724
329-U1365E-12R-3-W 128/132,0.5743103234669719,1.3861599517033785,1.772341269515788,2.8351151469618396,3.2803418120881602,2.4240253352187473,8.849330330047508,4.855777289208733,8.536196848927414,8.271193398867263,7.553765596260373,7.643287907442379,49.862110172822035,7.985304962146273,2.824219739092974,0.17979735826638238,9.580366758522297,8.304464285714287,8.390674496350183,5.4206199735783835,6.735331178532649
329-U1365E-12R-4-W 60/64,0.966822258512981,1.147958331050595,1.707928796511711,2.780783922186782,3.338988151303657,3.0492486835780612,13.217854017514698,5.207146492614541,8.967205442899608,8.446446523472739,7.711196713761984,7.89137132945112,49.871074383901394,7.87496608665541,2.8263820153574835,0.24396333642024454,9.033324009371123,8.508928571428571,8.6211875319642,5.732912373386407,7.382405960974824
329-U1368F-2R-1-W 13/17,17.425163866199977,16.862019308699754,16.099681337968313,20.768543301430352,21.5887926100602,20.430830402434864,15.803521969130053,15.209510045095755,13.222102785807861,6.16366896728574,4.856122398709307,4.657346416823976,49.47800844576857,7.792475273404991,2.5908911045396854,0.2700008823630771,10.758303822018531,12.614285714285716,8.805597960455412,19.627851553678177,17.213607205464548
329-U1368F-2R-2-W 13/17,17.4083672142949,18.22784038840761,15.510427870934597,21.928173384053864,20.223765396543797,20.107249484022,15.560468234909147,14.94468429878018,13.071535826918183,6.096034900321129,4.949331438249452,4.807509455111473,49.438691592720396,7.431232692533026,2.7116746859273624,0.2652524235503354,10.417014533152074,12.150892857142859,8.298469282104577,18.719013202121833,16.347873208266165
