SAMPLE ID,IGSN,EXPEDITION ID,REFERENCES,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,TECTONIC SETTING,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2O_M,H2O_P,SO2,SO3,V2O3,V2O5,ZnO,CoO,La2O3,Ce2O3,O,FeS2,S_SLFI,SLFA,C_NON_CARB,CaCO3,CuO,Cu2O,Dy2O3,FeCO3,Gd2O3,HfO,HfO2,MgCO3,MnCO3,Nb2O3,Nb2O5,Nd2O3,Sc2O3,Sm2O3,Ta2O5,ThO,ThO2,UO2,WO3,Y2O3,ZrO2,S_PY,TOC,Ag.1,Al.1,As.1,Ca.1,Cd.1,Co.1,Cu.1,GER,INDIUM,Mg.1,Mn.1,Ni.1,OS_INI,Pa,S.1,Si.1,Zn.1,Zr2O3,Ti.1,As.2,As.3,GER.1,H2O_M.1,H2O_P.1,H2O_M.2,H2O_P.2,INDIUM.1,area,depth_start,depth_end,depth_mean,Depth,DataBase,SAMPLE_INFO
ODP0129-0801C-009R-005/020-024,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.1,1.71,14.05,,3.49,,7.81,,,0.18,7.19,11.73,,2.62,0.05,0.06,,1.31,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,78.0,,,,,69.0,,,670.0,,93.0,,,,,,,0.97,,0.97,,pacific_plate_west_ref,20.0,24.0,22.0,568.81,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-010R-001/055-060,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.44,1.62,14.02,,3.82,,8.15,,,0.18,7.28,11.95,,2.56,0.06,0.06,,1.08,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,70.0,,,602.0,,85.0,,,,,,,0.55,,0.55,,pacific_plate_west_ref,55.0,60.0,57.5,569.55,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-010R-006/067-070,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.64,1.78,14.55,,3.95,,6.14,,,0.16,7.12,12.26,,2.77,0.07,0.06,,2.19,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,78.0,,,,,67.0,,,275.0,,95.0,,,,,,,1.03,,1.03,,pacific_plate_west_ref,67.0,70.0,68.5,574.06,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-011R-002/121-126,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.45,2.19,14.18,,5.04,,7.26,,,0.19,6.8,11.86,,2.81,0.06,0.11,,1.34,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,66.0,,,249.0,,106.0,,,,,,,0.71,,0.71,,pacific_plate_west_ref,121.0,126.0,123.5,579.11,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-011R-003/121-126,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.01,1.95,14.52,,4.13,,8.24,,,0.19,5.26,12.54,,2.57,0.09,0.1,,4.6,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,67.0,,,443.0,,111.0,,,,,,,0.86,,0.86,,pacific_plate_west_ref,121.0,126.0,123.5,582.01,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-011R-003/131-136,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.19,2.11,15.15,,5.19,,6.64,,,0.16,6.0,12.01,,2.59,0.1,0.17,,2.29,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,69.0,,,,,88.0,,,490.0,,111.0,,,,,,,1.32,,1.32,,pacific_plate_west_ref,131.0,136.0,133.5,580.16,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-012R-003/032-037,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.42,2.3,13.25,,3.63,,8.78,,,0.22,6.8,11.3,,2.79,0.04,0.19,,1.22,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,74.0,,,,,56.0,,,574.0,,101.0,,,,,,,0.51,,0.51,,pacific_plate_west_ref,32.0,37.0,34.5,590.58,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-012R-003/057-062,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.9,2.29,13.58,,4.61,,7.96,,,0.22,6.83,11.11,,2.82,0.08,0.12,,1.07,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,73.0,,,,,60.0,,,623.0,,108.0,,,,,,,0.79,,0.79,,pacific_plate_west_ref,57.0,62.0,59.5,590.83,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-015R-007/031-034,,ODP0185,"HAUFF, 2003; KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN; MS-ID,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51.1,2.55,20.42,,5.65,,,,,0.149,2.02,14.26,,3.82,0.529,0.266,,9.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,195.0,,,,,42.9,,,,,18.9,,,,,,,,,,,pacific_plate_west_ref,31.0,34.0,32.5,621.69,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-034R-001/093-096,,ODP0185,"HAUFF, 2003; KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN; MS-ID,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.93,2.41,13.8,,15.68,,,,,0.202,6.88,10.22,,2.85,0.178,0.249,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5,55.8,,,,,56.9,,,,,117.0,,,,,,,,,,,pacific_plate_west_ref,93.0,96.0,94.5,786.23,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-040R-001/024-027,,ODP0185,"HAUFF, 2003; KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN; MS-ID,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,42.13,1.59,10.82,,11.47,,,,,0.388,6.25,23.89,,2.07,0.58,0.153,,15.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,46.8,,,,,32.8,,,,,74.4,,,,,,,,,,,pacific_plate_west_ref,24.0,27.0,25.5,841.74,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-044R-003/023-026,,ODP0185,"HAUFF, 2003; KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN; MS-ID,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.16,2.07,14.38,,13.39,,,,,0.227,6.4,12.63,,3.06,0.373,0.213,,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,30.7,,,,,57.2,,,,,118.0,,,,,,,,,,,pacific_plate_west_ref,23.0,26.0,24.5,881.79,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-037R-001/036-038,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,59.69,2.67,19.57,,3.91,,,,,0.191,2.65,1.4,,2.34,7.3,0.446,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,283.0,,,,,57.6,,,,,61.1,,,,,,,,,,,pacific_plate_west_ref,36.0,38.0,37.0,461.86,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-041R-001/026-030,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.92,3.17,16.76,,10.66,,,,,0.154,5.18,8.61,,3.53,2.4,0.69,,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,28.8,,,,,40.7,,,,,87.0,,,,,,,,,,,pacific_plate_west_ref,26.0,30.0,28.0,483.26,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-041R-002/074-079,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.7,3.03,16.82,,10.9,,,,,0.171,5.1,8.95,,3.46,2.83,0.691,,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,34.4,,,,,40.7,,,,,90.3,,,,,,,,,,,pacific_plate_west_ref,74.0,79.0,76.5,485.24,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-043R-003/111-114,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.77,3.31,16.85,,8.02,,,,,0.549,5.86,9.8,,2.95,3.69,0.797,,11.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,61.5,,,,,77.0,,,,,68.9,,,,,,,,,,,pacific_plate_west_ref,111.0,114.0,112.5,496.09,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-001R-005/033-035,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.61,3.11,17.23,,10.99,,,,,0.162,5.16,6.58,,5.02,2.55,0.682,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,24.3,,,,,51.0,,,,,83.5,,,,,,,,,,,pacific_plate_west_ref,33.0,35.0,34.0,498.88,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-002R-005/024-028,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.88,1.98,14.17,,9.16,,,,,0.327,7.41,11.84,,4.04,3.68,0.769,,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,12.0,,,,,7.8,,,,,90.0,,,,,,,,,,,pacific_plate_west_ref,24.0,28.0,26.0,508.73,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-005R-001/095-098,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,57.38,1.08,19.63,,5.94,,,,,0.0541,2.17,4.97,,1.46,8.1,0.0853,,7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,18.3,,,,,64.8,,,,,44.0,,,,,,,,,,,pacific_plate_west_ref,95.0,98.0,96.5,532.15,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-006R-003/042-045,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.0,1.14,21.89,,6.01,,,,,0.148,2.39,14.07,,3.04,0.834,0.0712,,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.9,117.0,,,,,244.0,,,,,59.1,,,,,,,,,,,pacific_plate_west_ref,42.0,45.0,43.5,543.71,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-007R-003/043-048,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,41.9,1.53,11.99,,13.73,,,,,0.236,5.5,21.75,,2.28,0.451,0.153,,11.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,58.6,,,,,65.7,,,,,78.7,,,,,,,,,,,pacific_plate_west_ref,43.0,48.0,45.5,553.41,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-009R-004/001-004,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.83,1.5,13.71,,12.04,,,,,0.204,6.41,13.56,,2.67,0.0397,0.134,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,64.8,,,,,62.7,,,,,83.9,,,,,,,,,,,pacific_plate_west_ref,1.0,4.0,2.5,566.35,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-011R-002/145-148,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.71,1.79,14.29,,13.2,,,,,0.219,5.68,14.47,,2.44,0.171,0.165,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,52.2,,,,,72.5,,,,,93.3,,,,,,,,,,,pacific_plate_west_ref,145.0,148.0,146.5,580.75,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-012R-002/111-113,,ODP0129,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,42.08,1.77,11.55,,13.84,,,,,0.426,6.4,21.11,,2.29,0.0814,0.189,,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,42.9,,,,,40.0,,,,,76.7,,,,,,,,,,,pacific_plate_west_ref,111.0,113.0,112.0,589.91,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-014R-001/086-088,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.93,2.17,13.85,,13.79,,,,,0.28,6.47,12.46,,2.67,0.0913,0.276,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,56.8,,,,,47.6,,,,,105.0,,,,,,,,,,,pacific_plate_west_ref,86.0,88.0,87.0,604.86,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-015R-002/117-120,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.89,2.18,17.21,,11.49,,,,,0.0941,4.42,10.08,,3.51,0.525,0.218,,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,71.4,,,,,61.5,,,,,110.0,,,,,,,,,,,pacific_plate_west_ref,117.0,120.0,118.5,616.19,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-015R-007/096-099,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,43.95,2.29,17.19,,19.83,,,,,0.0617,5.84,6.4,,3.1,0.128,0.228,,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8,76.1,,,,,100.0,,,,,226.0,,,,,,,,,,,pacific_plate_west_ref,96.0,99.0,97.5,622.34,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-016R-002/027-031,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,42.36,2.02,12.66,,19.57,,,,,0.212,5.63,13.67,,2.2,2.42,0.229,,14.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,30.9,,,,,70.5,,,,,67.0,,,,,,,,,,,pacific_plate_west_ref,27.0,31.0,29.0,625.01,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-016R-002/082-086,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.77,2.83,18.5,,8.98,,,,,0.15,2.76,13.41,,3.41,0.733,0.271,,9.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,28.1,,,,,39.0,,,,,57.5,,,,,,,,,,,pacific_plate_west_ref,82.0,86.0,84.0,625.56,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-016R-005/062-065,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.89,1.31,6.56,,16.65,,,,,0.499,2.97,21.59,,1.91,0.549,0.186,,14.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,13.5,,,,,40.4,,,,,55.7,,,,,,,,,,,pacific_plate_west_ref,62.0,65.0,63.5,629.51,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-018R-001/064-069,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.73,2.43,13.49,,15.45,,,,,0.243,6.38,10.71,,2.84,0.0694,0.235,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,63.2,,,,,47.1,,,,,110.0,,,,,,,,,,,pacific_plate_west_ref,64.0,69.0,66.5,642.84,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-021R-002/086-089,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,43.13,1.76,12.67,,13.27,,,,,0.25,6.07,19.04,,2.5,0.252,0.2,,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,48.3,,,,,65.4,,,,,87.5,,,,,,,,,,,pacific_plate_west_ref,86.0,89.0,87.5,672.29,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-023R-003/080-084,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.29,2.27,14.13,,13.82,,,,,0.212,6.89,10.26,,3.02,0.0734,0.225,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,57.3,,,,,46.8,,,,,117.0,,,,,,,,,,,pacific_plate_west_ref,80.0,84.0,82.0,685.38,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-024R-001/046-049,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.99,2.01,13.28,,15.1,,,,,0.214,7.17,10.3,,2.78,0.12,0.193,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,45.4,,,,,53.2,,,,,99.9,,,,,,,,,,,pacific_plate_west_ref,46.0,49.0,47.5,691.76,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-025R-001/010-013,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.56,2.01,13.74,,13.95,,,,,0.248,6.86,11.58,,2.68,0.0483,0.185,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,57.5,,,,,61.3,,,,,110.0,,,,,,,,,,,pacific_plate_west_ref,10.0,13.0,11.5,700.8,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-027R-003/066-069,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.64,1.76,13.99,,13.0,,,,,0.222,5.99,14.67,,2.45,0.099,0.175,,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,57.3,,,,,64.6,,,,,92.2,,,,,,,,,,,pacific_plate_west_ref,66.0,69.0,67.5,723.14,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-028R-001/110-114,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.75,1.55,13.31,,13.53,,,,,0.168,8.35,11.62,,2.51,0.554,0.18,,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,70.5,,,,,63.6,,,,,88.1,,,,,,,,,,,pacific_plate_west_ref,110.0,114.0,112.0,729.8,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-028R-002/036-038,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.72,1.82,14.38,,13.4,,,,,0.243,7.15,12.45,,2.5,0.0525,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9,67.4,,,,,76.4,,,,,101.0,,,,,,,,,,,pacific_plate_west_ref,36.0,38.0,37.0,730.4,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-028R-002/100-104,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.17,1.57,13.77,,11.79,,,,,0.182,7.72,13.78,,2.38,0.591,0.137,,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,63.2,,,,,81.3,,,,,68.7,,,,,,,,,,,pacific_plate_west_ref,100.0,104.0,102.0,731.04,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-029R-001/016-018,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.39,2.43,13.55,,14.97,,,,,0.274,6.7,10.98,,2.72,0.108,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,52.6,,,,,58.6,,,,,128.0,,,,,,,,,,,pacific_plate_west_ref,16.0,18.0,17.0,738.06,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-030R-001/003-007,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.22,2.43,13.77,,16.61,,,,,0.163,7.11,9.18,,2.8,0.367,0.26,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,37.9,,,,,41.1,,,,,124.0,,,,,,,,,,,pacific_plate_west_ref,3.0,7.0,5.0,747.33,Northwest_Pacific,Seafloor altered basalt
